Back to Contents,Data 1: U.S. Product Supplied of Finished Motor Gasoline (Thousand Barrels per Day)
Sourcekey,MGFUPUS2
Date,U.S. Product Supplied of Finished Motor Gasoline (Thousand Barrels per Day)
Nov-1985,6770
Dec-1985,6792
Jan-1986,6502
Feb-1986,6469
Mar-1986,6955
Apr-1986,7105
May-1986,7106
Jun-1986,7209
Jul-1986,7436
Aug-1986,7435
Sep-1986,6864
Oct-1986,7250
Nov-1986,6879
Dec-1986,7143
Jan-1987,6535
Feb-1987,6796
Mar-1987,6964
Apr-1987,7314
May-1987,7460
Jun-1987,7539
Jul-1987,7581
Aug-1987,7338
Sep-1987,7205
Oct-1987,7305
Nov-1987,7151
Dec-1987,7251
Jan-1988,6693
Feb-1988,7039
Mar-1988,7323
Apr-1988,7430
May-1988,7303
Jun-1988,7817
Jul-1988,7482
Aug-1988,7556
Sep-1988,7404
Oct-1988,7271
Nov-1988,7379
Dec-1988,7344
Jan-1989,6745
Feb-1989,7119
Mar-1989,7421
Apr-1989,7157
May-1989,7381
Jun-1989,7780
Jul-1989,7296
Aug-1989,7717
Sep-1989,7240
Oct-1989,7302
Nov-1989,7353
Dec-1989,7410
Jan-1990,6643
Feb-1990,7179
Mar-1990,7338
Apr-1990,7121
May-1990,7358
Jun-1990,7519
Jul-1990,7496
Aug-1990,7796
Sep-1990,6914
Oct-1990,7226
Nov-1990,7241
Dec-1990,6978
Jan-1991,6645
Feb-1991,6838
Mar-1991,7017
Apr-1991,7137
May-1991,7437
Jun-1991,7456
Jul-1991,7561
Aug-1991,7528
Sep-1991,7083
Oct-1991,7281
Nov-1991,7008
Dec-1991,7224
Jan-1992,6869
Feb-1992,6963
Mar-1992,7137
Apr-1992,7238
May-1992,7328
Jun-1992,7460
Jul-1992,7639
Aug-1992,7380
Sep-1992,7344
Oct-1992,7338
Nov-1992,7102
Dec-1992,7396
Jan-1993,6639
Feb-1993,7112
Mar-1993,7389
Apr-1993,7435
May-1993,7585
Jun-1993,7700
Jul-1993,7785
Aug-1993,7864
Sep-1993,7607
Oct-1993,7382
Nov-1993,7533
Dec-1993,7661
Jan-1994,6980
Feb-1994,7275
