"Series Key",EBA.US48-ALL.D.H
"Series Name","EBA.US48-ALL.D.H, hourly"
Units,megawatthours
Frequency,H
"Start Date",20231102T20
"End Date",20230408T13
Source,"EIA, U.S. Energy Information Administration"

20230907T14,514404
20230907T13,494952
20230907T12,481506
20230907T11,466804
20230907T10,452045
20230907T09,449211
20230907T08,457632
20230907T07,473301
20230907T06,496043
20230907T05,523609
20230907T04,556374
20230907T03,592706
20230907T02,625796
20230907T01,653178
20230907T00,670565
20230906T23,683039
20230906T22,686021
20230906T21,680020
20230906T20,669198
20230906T19,654491
20230906T18,634653
20230906T17,608801
20230906T16,580032
20230906T15,550646
20230906T14,523040
20230906T13,502865
20230906T12,489248
20230906T11,473592
20230906T10,458365
20230906T09,455670
20230906T08,464304
20230906T07,482055
20230906T06,505084
20230906T05,533302
20230906T04,568254
20230906T03,605916
20230906T02,639640
20230906T01,666452
20230906T00,682327
20230905T23,695316
20230905T22,700097
20230905T21,695892
20230905T20,687310
20230905T19,672830
20230905T18,650834
20230905T17,622100
20230905T16,589659
20230905T15,556601
20230905T14,524754
20230905T13,498611
20230905T12,480268
20230905T11,464816
20230905T10,447630
20230905T09,443332
20230905T08,450127
20230905T07,465446
20230905T06,486739
20230905T05,513588
20230905T04,545046
20230905T03,579029
20230905T02,611488
20230905T01,636077
20230905T00,652627
20230904T23,664734
20230904T22,666120
20230904T21,657452
20230904T20,643245
20230904T19,626354
20230904T18,603045
20230904T17,573816
20230904T16,536480
20230904T15,495602
20230904T14,458256
20230904T13,430524
20230904T12,416705
20230904T11,415758
20230904T10,415513
20230904T09,419231
20230904T08,428791
20230904T07,443074
20230904T06,463071
20230904T05,487716
20230904T04,516766
20230904T03,545158
20230904T02,571501
20230904T01,594854
20230904T00,615181
20230903T23,631882
20230903T22,635107
20230903T21,626462
20230903T20,610694
20230903T19,589160
20230903T18,564084
20230903T17,532824
20230903T16,498027
20230903T15,464348
20230903T14,433157
20230903T13,409097
20230903T12,396834
20230903T11,395185
20230903T10,396666
20230903T09,402574
20230903T08,413008
20230903T07,428224
20230903T06,446924
20230903T05,468518
20230903T04,494273
20230903T03,520265
20230903T02,545933
20230903T01,567036
20230903T00,584898
20230902T23,598186
20230902T22,599632
20230902T21,590642
20230902T20,574335
20230902T19,553045
20230902T18,529862
20230902T17,503361
20230902T16,474774
20230902T15,448458
20230902T14,423582
20230902T13,405337
20230902T12,396365
20230902T11,394157
20230902T10,394278
20230902T09,399098
20230902T08,408975
20230902T07,423716
20230902T06,441971
20230902T05,464884
20230902T04,490397
20230902T03,518805
20230902T02,545242
20230902T01,567725
20230902T00,586595
20230901T23,601427
20230901T22,606312
20230901T21,599557
20230901T20,586987
20230901T19,570172
20230901T18,550174
20230901T17,527869
20230901T16,504398
20230901T15,481755
20230901T14,460720
